date,shareprice
01-Jan-1973,1.16867662222879
01-Feb-1973,1.1661120038596
01-Mar-1973,1.2588156584682
01-Apr-1973,1.26085766153356
01-May-1973,1.28866110224383
01-Jun-1973,1.28759181491716
01-Jul-1973,1.29667096854128
01-Aug-1973,1.29940672911023
01-Sep-1973,1.30510139712747
01-Oct-1973,1.30083916425319
01-Nov-1973,1.30106775843426
01-Dec-1973,1.2999488098277
01-Jan-1974,1.29438846832049
01-Feb-1974,1.2835360697135
01-Mar-1974,1.27857374329332
01-Apr-1974,1.27207329751393
01-May-1974,1.26681578129532
01-Jun-1974,1.26758692374114
01-Jul-1974,1.27287297569178
01-Aug-1974,1.27546399596203
01-Sep-1974,1.28144797741139
01-Oct-1974,1.27974119610812
01-Nov-1974,1.28443593368074
01-Dec-1974,1.28437483440573
01-Jan-1975,1.29020780761168
01-Feb-1975,1.29398480776661
01-Mar-1975,1.29558312059005
01-Apr-1975,1.30393500555847
01-May-1975,1.31653781048132
01-Jun-1975,1.31733428567409
01-Jul-1975,1.32403661454438
01-Aug-1975,1.3272458078918
01-Sep-1975,1.32266842554215
01-Oct-1975,1.32253833383499
01-Nov-1975,1.31312023321426
01-Dec-1975,1.31287860206978
01-Jan-1976,1.3045977964215
01-Feb-1976,1.29521299728077
01-Mar-1976,1.28712467778855
01-Apr-1976,1.28245176402103
01-May-1976,1.27737112831204
01-Jun-1976,1.27109855587143
01-Jul-1976,1.26833621886819
01-Aug-1976,1.27537696624432
01-Sep-1976,1.26704565034205
01-Oct-1976,1.26721034981708
01-Nov-1976,1.27363522667562
01-Dec-1976,1.29611192667082
01-Jan-1977,1.29208911945072
01-Feb-1977,1.31082173939524
01-Mar-1977,1.32567931738988
01-Apr-1977,1.33113846259274
01-May-1977,1.33322702773785
01-Jun-1977,1.3408696399936
01-Jul-1977,1.34364913155708
01-Aug-1977,1.35519257625457
01-Sep-1977,1.35453687606381
01-Oct-1977,1.37553265472384
01-Nov-1977,1.38225689127818
01-Dec-1977,1.37977509285625
01-Jan-1978,1.38414372899218
01-Feb-1978,1.39123230283374
01-Mar-1978,1.40115219989118
01-Apr-1978,1.41397243214679
01-May-1978,1.40039266682544
01-Jun-1978,1.40603704070692
01-Jul-1978,1.40350062557088
01-Aug-1978,1.4158280614834
01-Sep-1978,1.43285279067716
01-Oct-1978,1.44758934867326
01-Nov-1978,1.44545807546961
01-Dec-1978,1.45410404652489
01-Jan-1979,1.46008967868342
01-Feb-1979,1.46623729078254
01-Mar-1979,1.45236611906556
01-Apr-1979,1.4344052363785
01-May-1979,1.43626613949854
01-Jun-1979,1.44212688434296
01-Jul-1979,1.43622242052996
01-Aug-1979,1.44220366100919
01-Sep-1979,1.43620165718542
01-Oct-1979,1.4445179680558
01-Nov-1979,1.44522720303156
01-Dec-1979,1.44042458943143
01-Jan-1980,1.43589690872664
01-Feb-1980,1.42795471462176
01-Mar-1980,1.43842618333132
01-Apr-1980,1.44456455091902
01-May-1980,1.43876998891605
01-Jun-1980,1.42427859898983
01-Jul-1980,1.4224839722001
01-Aug-1980,1.42240641180246
01-Sep-1980,1.42510367256305
01-Oct-1980,1.42757068132528
01-Nov-1980,1.43995830100588
01-Dec-1980,1.44733723220378
01-Jan-1981,1.44630737138358
01-Feb-1981,1.45323005986692
01-Mar-1981,1.44740897353405
01-Apr-1981,1.44855138467034
01-May-1981,1.45318696037807
01-Jun-1981,1.45508130932458
01-Jul-1981,1.46047465090987
01-Aug-1981,1.46912794299923
01-Sep-1981,1.45446929213678
01-Oct-1981,1.45782724094727
01-Nov-1981,1.44180507236272
01-Dec-1981,1.44068179451542
01-Jan-1982,1.44043181463698
01-Feb-1982,1.45444920047216
01-Mar-1982,1.45825955854834
01-Apr-1982,1.46508901953599
01-May-1982,1.47141445722852
01-Jun-1982,1.50215732470538
01-Jul-1982,1.49942449735246
01-Aug-1982,1.49060763718364
01-Sep-1982,1.48178584477354
01-Oct-1982,1.47514968426641
01-Nov-1982,1.46902073209595
01-Dec-1982,1.47494586128387
01-Jan-1983,1.46549097309081
01-Feb-1983,1.46586503797345
01-Mar-1983,1.46133723974269
01-Apr-1983,1.46499826116875
01-May-1983,1.4605769352157
01-Jun-1983,1.4631423773527
01-Jul-1983,1.46106353177133
01-Aug-1983,1.46206526491861
01-Sep-1983,1.45983374218177
01-Oct-1983,1.45896420566343
01-Nov-1983,1.46079403117792
01-Dec-1983,1.4669133783456
01-Jan-1984,1.46774878229515
01-Feb-1984,1.4685218776686
01-Mar-1984,1.48315446310055
01-Apr-1984,1.48952611794258
01-May-1984,1.50343028071562
01-Jun-1984,1.51125343256106
01-Jul-1984,1.52848736183532
01-Aug-1984,1.51581742675077
01-Sep-1984,1.52788682172211
01-Oct-1984,1.52635022555727
01-Nov-1984,1.52765318086406
01-Dec-1984,1.52863525088691
01-Jan-1985,1.53094107623085
01-Feb-1985,1.55187551778398
01-Mar-1985,1.57222310112294
01-Apr-1985,1.56488591654019
01-May-1985,1.57700893089235
01-Jun-1985,1.56833803739325
01-Jul-1985,1.56058564863908
01-Aug-1985,1.56057694475629
01-Sep-1985,1.5663433429828
01-Oct-1985,1.56292732275584
01-Nov-1985,1.57059234196003
01-Dec-1985,1.58197662681389
01-Jan-1986,1.59145527206762
01-Feb-1986,1.59208153082794
01-Mar-1986,1.59165708408894
01-Apr-1986,1.58180187960089
01-May-1986,1.57225230449513
01-Jun-1986,1.5783220966051
01-Jul-1986,1.56817807444296
01-Aug-1986,1.57445565659047
01-Sep-1986,1.56959662400676
